Player,C,GP,SFrac,G,A,P,+/-,ESG,ESA,ESP,PPG,PPA,PPP,SHG,SHA,SHP,TGF,PGF,TGA,PGA,SHGF,SHGA,ESGF,ESGA,$ESG,$ESA,$ESP,$ESP/S,$ESGF,$ESGA,R-ON,R-OFF,XEV+/-,EV+/-,AEV+/-,EV%,TmEV+,EVCalc,TmEVR,$PPG,$PPA,$PPP,$PPP/S,PP%,TmPP+,PPCalc,TmPPR,$SHG,$SHA,$SHP,$SHP/S,SH%,TmSH+,SHCalc,TmSHR,Column1
"PEDERSON, TOM",D,240,3.3,20,49,69,-36,13,23,36,7,25,32,0,1,1,243,81,275,77,9,17,153,181,16,27,44,13,174,212,0.82,0.80,-27,-38,-10,31%,0.80,1.0,0,6,24,30,9,49%,0.74,1.6,-0.5,0,0,0,0,33%,1.18,1.1,0.2,211.54
"GUNNARSSON, CARL",D,224,3.1,12,57,69,2,11,45,56,1,11,12,0,1,1,180,21,238,81,6,3,153,154,13,59,72,24,190,188,1.01,0.90,-13,2,15,32%,0.92,1.0,0,1,13,14,5,15%,0.93,0.4,0.0,0,0,0,0,53%,1.15,1.6,0.2,188.00
"NACHBAUR, DON",C,223,2.8,23,46,69,-17,21,43,64,2,3,5,0,0,0,96,7,118,12,1,1,88,105,17,34,51,18,71,83,0.85,0.81,-11,-12,-1,15%,0.81,0.4,0,2,3,4,2,4%,0.93,0.1,0.0,0,0,0,0,6%,1.27,0.2,0.0,83.06
"BURNS, ROBIN",L,190,2.4,31,38,69,-91,22,30,52,9,8,17,0,0,0,99,28,160,0,0,6,71,154,20,27,47,20,64,140,0.46,0.55,-39,-75,-36,24%,0.54,0.6,0,8,7,14,6,23%,0.65,0.5,-0.2,0,0,0,0,0%,#DIV/0!,0.0,0.0,139.74
"HANGSLEBEN, ALAN",D,185,2.3,21,48,69,3,19,43,62,2,5,7,0,0,0,166,18,178,33,3,3,145,142,16,35,51,22,119,117,1.02,0.93,-6,2,8,28%,0.93,0.6,0,2,4,5,2,12%,0.82,0.3,-0.1,0,0,0,0,20%,1.14,0.5,0.1,116.88
"TATARINOV, MIKHAIL",D,161,2.0,21,48,69,10,11,24,35,9,20,29,1,4,5,214,71,168,34,7,15,136,119,10,22,33,16,127,111,1.14,0.80,-17,16,32,33%,0.89,0.7,0,7,17,24,12,51%,0.88,1.0,-0.1,1,1,2,1,21%,0.96,0.4,0.0,111.14
"GREENING, COLIN",C,153,2.3,31,38,69,3,25,32,57,6,6,12,0,0,0,113,21,93,4,1,2,91,87,32,42,73,32,117,108,1.08,1.00,0,9,9,28%,1.01,0.6,0,9,9,19,8,26%,0.98,0.6,0.0,0,0,0,0,6%,0.74,0.1,0.0,108.48
"PEAKE, PAT",R,134,1.8,28,41,69,3,17,27,44,11,14,25,0,0,0,103,46,55,1,0,6,57,48,17,29,46,26,59,55,1.08,1.12,4,5,0,20%,1.13,0.4,0,9,13,22,12,41%,0.96,0.7,0.0,0,0,0,0,1%,0.95,0.0,0.0,54.63
"LANDESKOG, GABRIEL",L,118,1.8,31,38,69,16,22,28,50,6,8,14,3,2,5,111,29,90,24,5,3,77,63,28,35,63,36,97,85,1.13,0.77,-15,11,27,29%,0.88,0.5,0,9,14,23,13,54%,0.93,0.9,-0.1,8,8,17,10,32%,1.05,0.6,0.0,85.04
"LEVO, TAPIO",D,107,1.3,16,53,69,-54,8,19,27,8,34,42,0,0,0,149,70,144,11,1,13,78,120,6,15,21,16,60,93,0.65,0.65,-21,-33,-11,34%,0.64,0.5,0,7,30,36,27,86%,0.79,1.2,-0.3,0,0,0,0,13%,1.12,0.2,0.0,93.00
"ROY, ANDRE",L,515,6.3,35,33,68,-17,35,33,68,0,0,0,0,0,0,111,3,126,1,0,0,108,125,41,38,79,13,125,145,0.87,0.99,-1,-19,-18,11%,0.98,0.7,0,0,0,0,0,1%,1.13,0.0,0.0,0,0,0,0,0%,1.08,0.0,0.0,144.88
"VAANANEN, OSSI",D,479,5.8,13,55,68,26,12,48,60,0,4,4,1,3,4,309,15,398,130,17,2,277,266,14,56,70,12,324,314,1.03,1.02,3,11,8,30%,1.02,1.7,0,0,4,4,1,5%,1.03,0.3,0.0,1,1,3,0,33%,1.02,1.9,0.0,313.56
"HOSPODAR, ED",D,450,5.6,17,51,68,-43,17,48,65,0,2,2,0,1,1,253,6,331,41,5,1,242,289,14,38,52,9,193,230,0.84,1.01,1,-37,-38,21%,1.00,1.2,0,0,2,2,0,2%,0.83,0.1,0.0,0,0,0,0,10%,1.02,0.6,0.0,230.36
"WINCHESTER, BRAD",C,390,4.8,37,31,68,-42,28,26,54,9,5,14,0,0,0,115,25,132,0,0,2,90,130,31,29,60,13,100,145,0.69,0.96,-3,-45,-42,14%,0.94,0.7,0,9,5,14,3,9%,1.07,0.4,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,145.06
"PICARD, NOEL",D,319,4.2,12,56,68,10,11,47,58,1,7,8,0,2,2,275,21,297,53,9,3,245,241,11,48,59,14,251,246,1.02,1.08,13,5,-8,39%,1.07,1.6,0,1,10,11,3,12%,0.91,0.5,0.0,0,0,0,0,29%,0.90,1.2,-0.1,246.03
"HUSKINS, KENT",D,318,4.0,13,55,68,46,12,52,64,1,3,4,0,0,0,197,12,179,39,4,1,181,139,13,59,72,18,206,161,1.28,1.14,15,45,30,28%,1.18,1.1,0,1,3,4,1,4%,1.20,0.2,0.0,0,0,0,0,17%,0.93,0.7,0.0,161.17
"JACKSON, DON",D,315,3.9,16,52,68,75,14,48,62,0,1,1,2,3,5,311,7,295,66,20,1,284,228,11,38,49,12,225,181,1.24,1.41,45,44,-1,25%,1.36,1.0,0,0,1,1,0,2%,1.21,0.1,0.0,2,2,3,1,22%,0.75,0.9,-0.2,181.12
"DEA, BILLY",L,251,3.3,42,26,68,-49,38,24,62,4,2,6,0,0,0,114,13,181,31,3,3,98,147,41,26,67,20,106,158,0.67,0.91,-9,-52,-43,22%,0.84,0.7,0,5,3,7,2,9%,0.74,0.3,-0.1,0,0,0,0,21%,1.02,0.7,0.0,157.95
"BOCHENSKI, BRANDON",R,156,1.9,28,40,68,1,21,33,54,7,7,14,0,0,0,90,25,66,0,0,4,65,62,24,38,62,33,75,71,1.05,0.88,-6,4,10,21%,0.90,0.4,0,6,6,12,6,19%,0.96,0.4,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,70.94
"MARSHALL, JASON",D,526,6.4,16,51,67,-33,10,41,51,5,9,14,1,1,2,273,25,408,126,15,4,233,278,11,47,59,9,268,322,0.83,0.93,-14,-53,-40,27%,0.91,1.7,0,5,9,14,2,8%,0.83,0.5,-0.1,1,1,2,0,30%,1.16,1.9,0.3,321.55
"HUNWICK, MATT",D,291,3.9,16,51,67,-16,14,39,53,1,12,13,1,0,1,205,37,238,54,6,5,162,179,15,47,63,16,202,219,0.92,0.99,-2,-17,-15,30%,0.99,1.2,0,1,13,14,4,18%,1.04,0.7,0.0,2,2,4,1,27%,1.08,1.1,0.1,218.80
"BODDY, GREGG",D,273,3.5,23,44,67,-44,19,42,61,3,1,4,1,1,2,173,16,250,49,4,2,153,199,17,39,56,16,142,183,0.78,0.81,-22,-41,-19,25%,0.80,0.9,0,3,1,4,1,8%,1.00,0.3,0.0,1,1,2,1,22%,1.26,0.8,0.2,182.89
"BEECH, KRIS",C,198,2.4,25,42,67,-37,18,26,44,7,16,23,0,0,0,104,40,101,1,0,7,64,93,21,30,51,21,74,108,0.69,0.90,-6,-33,-27,20%,0.85,0.5,0,7,15,22,9,28%,0.86,0.7,-0.1,0,0,0,0,0%,1.48,0.0,0.0,107.73
"EKMAN-LARSSON, OLIVER",D,178,2.6,17,50,67,8,14,34,48,2,16,18,1,0,1,159,36,152,37,4,5,119,110,17,47,64,25,158,144,1.09,1.08,8,13,6,33%,1.09,0.9,0,3,26,29,11,46%,0.80,1.2,-0.3,2,2,4,1,39%,0.99,1.0,0.0,144.44
"BERGLUND, BO",L,130,1.6,28,39,67,5,25,27,52,3,12,15,0,0,0,94,20,69,0,0,3,74,66,20,21,41,25,58,52,1.12,1.25,8,6,-2,19%,1.21,0.3,0,2,10,13,8,18%,0.99,0.3,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,51.76
"HENRIQUE, ADAM",C,117,1.8,27,40,67,6,18,27,45,3,9,12,6,4,10,98,17,95,20,11,4,70,71,24,32,56,31,91,95,0.95,0.85,-10,-4,5,32%,0.87,0.6,0,6,12,18,10,27%,0.79,0.5,-0.1,13,13,26,14,38%,0.49,0.7,-0.5,95.05
"KYTE, JIM",D,598,7.6,17,49,66,-92,17,44,61,0,2,2,0,3,3,342,5,577,148,21,1,316,428,17,42,59,8,288,391,0.74,0.95,-11,-103,-92,23%,0.92,1.7,0,0,3,3,0,1%,0.74,0.1,0.0,0,0,0,0,25%,1.01,1.9,0.0,390.72
"RIVERS, JAMIE",D,454,5.5,17,49,66,4,11,32,43,6,16,22,0,1,1,247,43,251,50,7,5,197,196,13,37,50,9,229,227,1.01,1.03,5,2,-3,22%,1.03,1.2,0,7,16,23,4,14%,1.02,0.8,0.0,0,0,0,0,13%,1.00,0.7,0.0,226.78
"POLAK, ROMAN",D,352,4.7,9,57,66,-10,9,50,59,0,5,5,0,2,2,244,17,320,84,13,2,214,234,11,58,69,15,253,278,0.91,1.10,16,-25,-40,33%,1.05,1.6,0,0,5,5,1,5%,1.09,0.2,0.0,0,0,0,0,41%,0.81,1.9,-0.4,277.50
"WEIR, WALLY",D,320,4.0,21,45,66,-24,20,41,61,1,3,4,0,1,1,183,7,240,40,5,1,171,199,16,33,49,12,137,160,0.86,0.92,-8,-23,-15,20%,0.90,0.8,0,1,3,4,1,2%,1.01,0.1,0.0,0,0,0,0,14%,1.04,0.6,0.0,160.12
"HOFFMEYER, BOB",D,198,2.5,14,52,66,-21,9,42,51,5,7,12,0,3,3,199,34,266,80,10,3,155,183,7,33,40,16,120,143,0.84,0.95,-5,-23,-18,32%,0.94,0.8,0,4,6,11,4,19%,1.12,0.5,0.1,0,0,0,0,41%,1.01,1.0,0.0,143.26
"McDONOUGH, HUBIE",C,195,2.4,40,26,66,-23,32,25,57,3,1,4,5,0,5,86,8,175,73,9,2,69,100,28,22,51,21,61,90,0.68,0.84,-8,-29,-21,17%,0.83,0.4,0,2,1,3,1,5%,0.83,0.1,0.0,5,5,9,4,35%,1.19,0.8,0.2,90.02
"TRIMPER, TIM",L,190,2.4,30,36,66,-55,26,30,56,3,5,8,1,1,2,102,18,167,28,3,3,81,136,21,24,45,19,65,109,0.60,0.73,-17,-44,-27,20%,0.73,0.5,0,3,5,8,3,12%,0.98,0.3,0.0,1,1,3,1,19%,1.15,0.5,0.1,109.01
"HRECHKOSY, DAVE",L,140,1.8,42,24,66,-29,27,20,47,13,4,17,2,0,2,98,27,104,2,2,5,69,97,24,18,42,24,62,87,0.71,0.73,-15,-25,-10,24%,0.73,0.4,0,11,4,14,8,28%,0.71,0.5,-0.2,3,3,5,3,2%,1.33,0.0,0.0,87.12
"LEDUC, RICH",C,130,1.6,28,38,66,-31,18,28,46,9,9,18,1,1,2,92,25,119,21,2,4,65,94,15,24,39,24,55,80,0.69,0.96,-2,-25,-23,23%,0.86,0.4,0,8,8,16,10,24%,0.92,0.4,0.0,2,2,4,2,18%,1.24,0.3,0.1,79.98
"PRATT, NOLAN",D,592,7.2,9,56,65,2,9,53,62,0,1,1,0,2,2,305,5,431,130,23,1,277,300,10,62,73,10,325,350,0.93,0.98,-4,-25,-21,25%,0.97,1.8,0,0,1,1,0,1%,0.80,0.1,0.0,0,0,0,0,33%,0.96,2.4,-0.1,350.45
"SHEEHY, NEIL",D,379,4.7,18,47,65,28,17,46,63,1,1,2,0,0,0,295,10,349,92,13,1,272,256,15,39,54,11,235,221,1.06,1.18,25,13,-12,27%,1.15,1.3,0,1,1,1,0,2%,1.06,0.1,0.0,0,0,0,0,23%,0.98,1.1,0.0,221.48
"DORSETT, DEREK",R,280,3.6,27,38,65,-32,24,33,57,2,2,4,1,3,4,101,9,158,34,6,2,86,122,28,40,69,19,104,152,0.68,0.99,-1,-48,-47,20%,0.92,0.7,0,2,2,4,1,5%,0.82,0.2,0.0,2,2,3,1,18%,1.18,0.7,0.1,152.31
"TRAVERSE, PATRICK",D,279,3.4,14,51,65,2,10,33,43,4,17,21,0,1,1,234,44,231,43,5,6,185,182,11,38,49,15,213,212,1.01,0.97,-4,2,6,33%,0.98,1.1,0,5,18,23,7,24%,0.97,0.8,0.0,0,0,0,0,26%,0.94,0.9,-0.1,211.53
"HILLEN, JACK",D,253,3.3,13,52,65,-3,12,44,56,1,5,6,0,3,3,181,14,218,48,8,1,159,169,15,53,68,21,188,193,0.98,0.86,-19,-4,15,31%,0.88,1.0,0,1,5,6,2,8%,0.93,0.3,0.0,0,0,0,0,24%,1.08,0.8,0.1,192.93
"JOHNSTON, MARSHALL",D,250,3.2,14,51,65,-73,9,29,38,4,21,25,1,1,2,204,61,293,77,8,11,135,205,8,27,35,11,132,200,0.66,0.67,-43,-68,-25,26%,0.66,0.8,0,5,25,29,9,46%,0.77,1.5,-0.4,2,2,4,1,44%,1.20,1.4,0.3,199.63
"BERGMAN, THOMMIE",D,246,3.1,21,44,65,-36,16,34,50,4,9,13,1,1,2,248,34,318,68,10,4,204,246,14,30,44,14,180,216,0.83,0.87,-17,-37,-19,36%,0.86,1.1,0,4,9,12,4,18%,1.03,0.6,0.0,1,1,3,1,39%,0.94,1.2,-0.1,216.47
"MACDONALD, ANDREW",D,232,3.2,13,52,65,8,10,38,48,3,14,17,0,0,0,224,41,235,60,8,4,175,171,12,47,59,18,218,216,1.01,0.78,-35,1,37,35%,0.83,1.1,0,5,18,22,7,29%,1.04,0.9,0.0,0,0,0,0,46%,1.06,1.5,0.1,216.15
"PETROVICKY, ROBERT",C,208,2.5,27,38,65,-15,24,32,56,3,6,9,0,0,0,96,20,94,2,0,4,76,88,25,33,58,23,78,91,0.86,0.75,-16,-13,3,18%,0.77,0.4,0,3,5,8,3,14%,0.87,0.3,0.0,0,0,0,0,1%,1.11,0.0,0.0,91.04
"WHITE, TONY",L,164,2.1,37,28,65,-64,27,24,51,9,3,12,1,1,2,124,28,170,9,2,3,94,158,24,21,46,22,84,141,0.59,0.59,-38,-57,-19,27%,0.61,0.6,0,8,2,10,5,27%,0.68,0.6,-0.2,1,1,2,1,7%,1.26,0.1,0.0,140.97
"ALEXANDER, CLAIRE",D,155,1.9,18,47,65,0,10,33,43,8,14,22,0,0,0,161,46,129,14,1,6,114,109,9,29,38,20,101,97,1.04,0.88,-8,4,13,27%,0.90,0.5,0,8,14,22,11,39%,0.98,0.8,0.0,0,0,0,0,11%,1.28,0.2,0.1,96.73
"DeGRAY, DALE",D,153,1.9,18,47,65,-1,17,26,43,1,19,20,0,2,2,161,38,148,23,5,6,118,119,15,23,38,20,106,106,1.00,1.02,2,0,-2,26%,1.03,0.5,0,1,15,16,8,31%,0.83,0.6,-0.1,0,0,0,0,14%,0.97,0.3,0.0,105.68
"MENARD, HOWIE",C,148,2.0,23,42,65,4,20,39,59,3,2,5,0,1,1,87,9,88,14,1,2,77,72,22,42,64,33,83,78,1.06,0.79,-12,5,17,23%,0.82,0.4,0,4,3,7,4,13%,0.74,0.3,-0.1,0,0,0,0,15%,1.02,0.3,0.0,78.40
"NASH, TYSON",L,374,4.6,27,37,64,2,24,34,58,1,1,2,2,2,4,110,6,159,57,9,1,95,101,28,40,68,15,111,119,0.93,1.12,9,-8,-17,15%,1.11,0.7,0,1,1,2,0,2%,1.08,0.1,0.0,2,2,5,1,18%,1.00,0.8,0.0,119.49
"CROMBEEN, B.J.",R,332,4.4,28,36,64,-29,25,33,58,0,2,2,3,1,4,104,3,170,40,5,0,96,130,28,42,70,16,114,148,0.77,1.04,4,-34,-37,16%,0.98,0.7,0,0,2,2,0,1%,1.09,0.0,0.0,4,4,8,2,20%,0.91,0.9,-0.1,147.96
"FRIG, LEN",D,311,3.9,13,51,64,-66,9,39,48,4,12,16,0,0,0,272,41,388,91,9,8,222,289,8,35,43,11,199,258,0.77,0.80,-33,-59,-26,34%,0.81,1.3,0,3,10,14,3,19%,0.75,0.7,-0.2,0,0,0,0,44%,1.05,1.7,0.1,258.29
"WESLEY, BLAKE",D,298,3.7,18,46,64,-36,11,35,46,7,10,17,0,1,1,277,42,364,93,9,4,226,267,8,27,36,10,177,208,0.85,1.01,1,-31,-32,28%,0.98,1.1,0,6,9,16,4,17%,1.09,0.6,0.1,0,0,0,0,31%,1.11,1.2,0.1,208.10
"CAHAN, LARRY",D,283,3.7,19,45,64,-103,11,36,47,8,6,14,0,3,3,255,33,432,107,10,6,212,319,12,38,50,13,227,341,0.66,0.69,-69,-115,-45,42%,0.68,1.6,-1,10,8,19,5,23%,0.81,0.8,-0.2,0,0,0,0,52%,1.19,1.9,0.3,341.29
"EBBETT, ANDREW",L,191,2.6,25,39,64,3,15,31,46,9,8,17,1,0,1,101,25,94,21,2,3,74,70,17,38,55,21,88,84,1.05,1.04,2,5,3,19%,1.04,0.5,0,9,8,18,7,15%,1.12,0.4,0.0,1,1,3,1,17%,1.06,0.4,0.0,83.85
"BARRIE, LEN",C,184,2.7,19,45,64,6,18,39,57,0,6,6,1,0,1,85,9,91,21,2,2,74,68,22,50,71,27,91,88,1.04,1.10,5,4,-2,18%,1.09,0.5,0,0,7,7,3,7%,0.93,0.2,0.0,1,1,2,1,13%,1.02,0.4,0.0,87.86
"SIMPSON, BOBBY",L,175,2.2,35,29,64,-4,35,26,61,0,3,3,0,0,0,106,5,105,0,0,1,101,104,29,22,51,23,85,88,0.97,1.00,0,-2,-3,22%,1.00,0.5,0,0,4,4,2,5%,0.99,0.1,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,87.84
"WILLIAMS, DAVID",D,173,2.3,11,53,64,-37,6,32,38,5,21,26,0,0,0,165,47,192,37,4,12,114,143,7,31,38,17,117,148,0.80,0.67,-34,-30,4,32%,0.71,0.7,0,4,18,22,10,35%,0.72,0.8,-0.3,0,0,0,0,21%,1.22,0.5,0.1,147.66
"BONAR, DAN",C,170,2.1,25,39,64,-11,20,36,56,4,2,6,1,1,2,91,7,179,84,9,1,75,94,16,28,43,20,58,74,0.79,0.99,0,-15,-15,17%,0.97,0.4,0,3,1,4,2,4%,1.11,0.1,0.0,1,1,2,1,46%,1.18,1.0,0.2,73.58
"ZMOLEK, DOUG",D,467,6.0,11,52,63,-84,9,41,50,2,9,11,0,2,2,285,24,498,153,17,6,244,339,9,48,57,9,268,363,0.74,0.85,-34,-96,-62,29%,0.83,1.7,0,1,9,10,2,7%,0.77,0.4,-0.1,0,0,0,0,37%,1.09,2.2,0.2,363.33
"GREENE, MATT",D,466,5.7,11,52,63,-20,11,48,59,0,2,2,0,2,2,232,3,368,122,13,0,216,246,12,54,66,12,243,279,0.87,0.91,-15,-36,-20,27%,0.92,1.6,0,0,2,2,0,1%,0.98,0.1,0.0,0,0,0,0,42%,0.88,2.4,-0.3,278.67
"SMID, LADISLAV",D,457,6.0,10,53,63,-39,10,47,57,0,4,4,0,2,2,286,15,430,123,13,1,258,306,12,54,66,11,310,366,0.85,0.80,-49,-57,-8,31%,0.82,1.9,0,0,4,4,1,5%,0.88,0.3,0.0,0,0,0,0,37%,1.04,2.2,0.1,366.38
"JACKMAN, TIM",R,390,5.1,23,40,63,-57,21,37,58,1,3,4,1,0,1,95,11,154,14,2,2,82,138,24,43,67,13,94,165,0.57,0.84,-14,-70,-56,14%,0.81,0.7,0,1,4,5,1,4%,1.07,0.2,0.0,1,1,2,0,4%,1.03,0.2,0.0,164.61
"STANTON, PAUL",D,295,3.7,14,49,63,-3,10,34,44,4,14,18,0,1,1,271,46,292,64,13,8,212,220,9,32,42,11,201,213,0.94,1.18,22,-12,-34,28%,1.13,1.1,0,3,14,17,5,16%,0.99,0.6,0.0,0,0,0,0,24%,0.91,0.9,-0.1,213.11
"TAMBELLINI, JEFF",L,242,3.0,27,36,63,-20,23,30,53,4,6,10,0,0,0,93,14,102,3,0,1,79,98,26,34,59,20,88,110,0.80,0.92,-5,-22,-17,19%,0.91,0.6,0,4,7,11,4,8%,1.06,0.2,0.0,0,0,0,0,1%,1.11,0.0,0.0,110.19
"FATA, RICO",L,230,2.8,27,36,63,-60,18,24,42,7,10,17,2,2,4,84,24,162,39,6,5,54,118,22,29,51,18,65,143,0.45,0.77,-18,-79,-61,19%,0.69,0.5,0,7,10,17,6,13%,1.00,0.4,0.0,2,2,5,2,16%,1.33,0.4,0.1,143.48
"BOYD, DUSTIN",C,220,2.7,32,31,63,-17,30,25,55,1,4,5,1,2,3,85,11,115,24,4,1,70,90,34,28,62,23,79,101,0.78,1.13,7,-22,-29,19%,1.07,0.5,0,1,4,5,2,8%,0.91,0.2,0.0,1,1,2,1,16%,0.93,0.4,0.0,101.01
"LARIVIERE, GARRY",D,219,2.7,6,57,63,37,4,48,52,2,8,10,0,1,1,257,13,298,91,9,2,235,205,3,38,42,15,187,165,1.13,1.05,5,22,17,34%,1.04,0.9,0,2,6,8,3,6%,1.02,0.2,0.0,0,0,0,0,45%,1.09,1.2,0.1,165.45
"NYROP, BILL",D,207,2.6,12,51,63,133,8,51,59,1,0,1,3,0,3,280,3,169,25,5,0,272,144,7,44,51,20,233,121,1.92,1.79,66,111,45,36%,1.79,0.9,1,1,0,1,0,1%,1.42,0.0,0.0,5,5,11,4,24%,0.71,0.6,-0.2,121.27
"CRAIG, RYAN",C,190,2.3,32,31,63,-26,21,20,41,11,11,22,0,0,0,107,51,116,38,7,8,49,70,24,23,47,20,57,81,0.71,0.89,-5,-24,-18,16%,0.87,0.4,0,9,9,18,8,30%,0.98,0.7,0.0,0,0,0,0,24%,1.07,0.6,0.0,80.97
"DRUKEN, HAROLD",C,146,1.8,27,36,63,18,18,31,49,9,5,14,0,0,0,83,20,45,0,0,3,63,42,21,36,57,32,72,49,1.49,1.02,1,24,23,19%,1.05,0.3,0,9,5,13,7,17%,1.03,0.3,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,48.73
"DOUGLAS, KENT",D,145,1.9,13,50,63,-8,11,35,46,2,14,16,0,1,1,193,51,212,62,7,6,135,144,12,38,50,26,147,157,0.94,0.99,-1,-10,-9,43%,0.94,0.8,0,3,20,23,12,65%,1.00,1.3,0.0,0,0,0,0,58%,1.18,1.1,0.2,156.66
"TANNAHILL, DON",L,111,1.4,30,33,63,-28,27,28,55,2,5,7,1,0,1,97,15,118,8,1,2,81,108,25,26,50,35,74,98,0.75,0.68,-22,-24,-3,30%,0.69,0.4,0,2,6,8,6,21%,0.93,0.3,0.0,2,2,3,2,10%,1.31,0.1,0.0,97.68
"KADRI, NAZEM",C,99,1.6,26,37,63,13,20,32,52,6,5,11,0,0,0,87,22,52,0,0,3,65,49,31,52,83,51,103,73,1.40,0.85,-9,29,39,27%,0.98,0.4,0,11,8,19,12,35%,0.98,0.6,0.0,0,0,0,0,0%,#DIV/0!,0.0,0.0,73.23
"ZANON, GREG",D,493,6.4,12,50,62,-9,12,45,57,0,1,1,0,4,4,300,6,485,182,23,1,271,302,13,54,67,10,316,363,0.87,0.95,-12,-47,-35,30%,0.92,1.9,0,0,1,1,0,2%,0.94,0.1,0.0,0,0,0,0,54%,0.91,3.5,-0.3,362.66
"MURRAY, DOUGLAS",D,465,6.0,7,55,62,31,6,52,58,1,2,3,0,1,1,282,10,357,115,16,1,256,241,7,61,69,11,297,287,1.04,1.15,27,10,-17,28%,1.13,1.7,0,1,2,3,1,2%,1.18,0.1,0.0,0,0,0,0,42%,0.93,2.5,-0.2,286.92
"BYLSMA, DAN",L,429,5.2,19,43,62,-20,17,40,57,0,2,2,2,1,3,105,2,235,112,12,1,91,122,19,46,65,13,104,139,0.75,0.91,-7,-35,-27,13%,0.89,0.7,0,0,2,2,0,1%,0.82,0.0,0.0,3,3,5,1,40%,0.95,2.1,-0.1,138.64
"PARADISE, BOB",D,368,4.6,8,54,62,-116,7,53,60,1,1,2,0,0,0,303,11,491,83,10,1,282,407,6,48,54,12,253,365,0.69,0.88,-25,-112,-87,35%,0.83,1.6,0,1,1,2,0,4%,0.89,0.2,0.0,0,0,0,0,31%,1.06,1.5,0.1,365.21
"METHOT, MARC",D,322,4.3,9,53,62,-4,9,50,59,0,1,1,0,2,2,223,3,325,100,10,0,210,225,11,61,72,17,256,272,0.94,0.97,-6,-15,-10,35%,0.96,1.5,0,0,2,2,0,2%,0.87,0.1,0.0,0,0,0,0,48%,0.94,2.1,-0.1,271.64
"JOHNSON, AARON",D,291,3.6,17,45,62,1,14,40,54,3,5,8,0,0,0,189,23,191,24,3,4,163,163,16,46,61,17,189,188,1.01,0.83,-22,1,23,30%,0.85,1.1,0,3,5,8,2,12%,0.80,0.4,-0.1,0,0,0,0,11%,1.07,0.4,0.0,187.71
"MOWERS, MARK",R,278,3.4,18,44,62,0,16,43,59,1,1,2,1,0,1,85,6,103,23,3,1,76,79,19,50,69,20,89,92,0.97,0.96,-2,-3,0,14%,0.96,0.5,0,1,1,2,1,3%,1.00,0.1,0.0,1,1,2,1,9%,0.96,0.3,0.0,92.10
"ANDERSON, SHAWN",D,255,3.1,11,51,62,1,5,36,41,6,14,20,0,1,1,178,36,161,20,2,5,140,136,4,33,37,12,127,123,1.03,0.97,-2,4,6,22%,0.98,0.7,0,5,11,16,5,16%,0.90,0.5,-0.1,0,0,0,0,7%,1.12,0.2,0.0,123.21
"SMITH, BRAD",R,222,2.8,28,34,62,-29,27,30,57,1,4,5,0,0,0,111,8,133,1,0,1,103,131,22,25,47,17,84,106,0.80,0.88,-8,-22,-14,18%,0.88,0.5,0,1,3,4,1,4%,0.86,0.1,0.0,0,0,0,0,0%,1.21,0.0,0.0,105.76
"BOIVIN, LEO",D,211,2.8,18,44,62,-42,11,38,49,7,5,12,0,1,1,249,35,323,67,9,8,205,248,12,41,54,19,226,272,0.83,0.79,-38,-46,-8,48%,0.79,1.3,0,9,6,15,5,29%,0.79,0.8,-0.2,0,0,0,0,51%,1.04,1.4,0.1,272.33
"BLACKBURN, DON",L,179,2.4,23,39,62,-48,23,34,57,0,5,5,0,0,0,92,12,128,0,0,2,80,126,24,35,59,25,82,125,0.66,0.77,-17,-43,-26,27%,0.77,0.6,0,0,7,7,3,16%,0.59,0.4,-0.2,0,0,0,0,0%,#DIV/0!,0.0,0.0,125.49
"LEDDY, NICK",D,176,2.6,13,49,62,0,11,31,42,2,18,20,0,0,0,154,31,142,19,3,3,120,120,15,38,53,21,156,142,1.10,1.30,25,14,-12,30%,1.23,0.8,0,4,28,33,13,35%,0.89,0.9,-0.1,0,0,0,0,14%,1.25,0.4,0.1,142.19
"BACKLUND, MIKAEL",C,170,2.3,23,39,62,-10,17,33,50,6,5,11,0,1,1,96,21,94,9,1,2,74,83,23,40,63,27,92,106,0.87,0.88,-8,-14,-6,23%,0.88,0.5,0,9,8,17,7,21%,1.09,0.5,0.0,0,0,0,0,8%,1.01,0.2,0.0,105.55
"DIMITRAKOS, NIKO",R,158,1.9,24,38,62,-1,18,26,44,6,11,17,0,1,1,95,27,76,6,1,4,67,66,22,31,53,28,81,79,1.01,1.07,4,1,-3,23%,1.08,0.4,0,6,10,16,8,21%,1.02,0.4,0.0,0,0,0,0,4%,1.02,0.1,0.0,79.45
"CARNBACK, PATRIK",L,154,2.2,24,38,62,-17,20,30,50,4,7,11,0,1,1,83,16,90,5,1,2,66,83,25,40,64,29,82,105,0.78,1.00,0,-23,-23,24%,0.95,0.5,0,3,7,11,5,15%,0.70,0.3,-0.1,0,0,0,0,4%,1.18,0.1,0.0,105.01
